,연도,월,일,시간,시군구명,읍면동명,온도,습도,시간단위풍속,현장소방서거리,화재진압시간,전체인력수합계,damagearea
2,2021.0,1.0,12.0,11,홍천군,동면,-7.0,59.0,270.0,27.0,24740.0,48.0,0.15
3,2021.0,1.0,12.0,11,홍천군,동면,-8.0,59.0,270.0,28.0,24740.0,48.0,0.15
4,2021.0,1.0,15.0,15,인제군,인제읍,-2.0,69.0,315.0,11.0,193251.0,54.0,0.02
5,2021.0,1.0,15.0,15,인제군,인제읍,-2.0,69.0,315.0,11.0,193251.0,54.0,0.21
7,2021.0,1.0,20.0,14,횡성군,공근면,6.0,31.0,225.0,14.0,20028.0,92.0,0.15
8,2021.0,1.0,20.0,14,횡성군,공근면,6.0,31.0,225.0,14.0,20028.0,92.0,0.09
9,2021.0,1.0,24.0,17,홍천군,홍천읍,7.0,62.0,180.0,9.0,32655.0,17.0,0.7
10,2021.0,2.0,5.0,14,정선군,북평면,4.0,47.0,225.0,15.0,44204.0,140.0,1.5
11,2021.0,2.0,5.0,14,정선군,북평면,4.0,47.0,225.0,15.0,44204.0,140.0,2.02
12,2021.0,2.0,9.0,13,삼척시,신기면,6.0,27.0,315.0,20.0,42625.0,369.0,1.0
13,2021.0,2.0,9.0,13,삼척시,신기면,6.0,27.0,315.0,20.0,42625.0,369.0,3.7
14,2021.0,2.0,10.0,14,홍천군,동면,6.0,70.0,135.0,23.0,11835.0,41.0,0.01
15,2021.0,2.0,16.0,14,강릉시,옥계면,0.0,30.0,315.0,28.0,24845.0,209.0,1.0
16,2021.0,2.0,16.0,14,강릉시,옥계면,0.0,30.0,315.0,28.0,24845.0,209.0,2.7
18,2021.0,2.0,18.0,22,양양군,양양읍,-1.0,32.0,225.0,7.0,55140.0,1028.0,6.5
19,2021.0,2.0,18.0,22,양양군,양양읍,-1.0,32.0,225.0,7.0,55140.0,1028.0,3.62
21,2021.0,2.0,20.0,15,정선군,여량면,11.0,30.0,45.0,28.0,173328.0,421.0,12.0
22,2021.0,2.0,20.0,15,정선군,여량면,11.0,30.0,45.0,28.0,173328.0,421.0,24.56
23,2021.0,2.0,22.0,14,화천군,간동면,13.0,39.0,270.0,21.0,4716.0,81.0,0.1
24,2021.0,2.0,26.0,13,홍천군,북방면,10.0,35.0,90.0,20.0,35402.0,106.0,0.1
25,2021.0,2.0,26.0,13,홍천군,북방면,10.0,35.0,90.0,21.0,35402.0,106.0,0.1
26,2021.0,3.0,11.0,14,영월군,김삿갓면,17.0,17.0,225.0,15.0,165831.0,164.0,0.5
27,2021.0,3.0,11.0,14,영월군,김삿갓면,17.0,17.0,225.0,15.0,165831.0,164.0,4.42
29,2021.0,3.0,23.0,15,홍천군,화촌면,16.0,25.0,315.0,13.0,84243.0,310.0,20.0
30,2021.0,3.0,30.0,14,삼척시,가곡면,16.0,26.0,90.0,55.0,44220.0,197.0,0.5
31,2021.0,3.0,30.0,14,삼척시,가곡면,16.0,26.0,90.0,55.0,44220.0,197.0,1.28
32,2021.0,3.0,31.0,15,정선군,신동읍,21.0,8.0,225.0,32.0,205045.0,302.0,10.7
37,2021.0,4.0,17.0,12,평창군,진부면,13.0,29.0,180.0,42.0,10448.0,53.0,0.01
38,2021.0,4.0,17.0,12,평창군,진부면,14.0,29.0,180.0,42.0,10448.0,53.0,0.01
41,2021.0,4.0,20.0,15,홍천군,남면,25.0,22.0,315.0,17.0,10442.0,64.0,0.3
42,2021.0,4.0,20.0,15,홍천군,남면,25.0,22.0,315.0,17.0,10442.0,64.0,0.66
43,2021.0,4.0,21.0,12,평창군,대관령면,23.0,29.0,315.0,56.0,21838.0,177.0,1.0
45,2021.0,4.0,21.0,12,평창군,대관령면,24.0,29.0,315.0,56.0,21838.0,177.0,1.0
49,2021.0,4.0,22.0,13,철원군,동송읍,25.0,31.0,90.0,13.0,3855.0,52.0,0.02
50,2021.0,4.0,25.0,14,원주시,신림면,20.0,31.0,225.0,24.0,22859.0,126.0,1.5
53,2021.0,4.0,27.0,13,인제군,인제읍,17.0,366.0,225.0,19.0,4600.0,126.0,0.17
54,2021.0,4.0,29.0,21,삼척시,가곡면,6.0,95.0,270.0,61.0,34508.0,103.0,0.01
55,2021.0,5.0,6.0,17,인제군,서화면,18.0,36.0,225.0,27.0,3832.0,81.0,0.1
56,2021.0,5.0,6.0,17,인제군,서화면,18.0,36.0,225.0,27.0,3832.0,81.0,0.2
57,2021.0,5.0,6.0,21,삼척시,원덕읍,15.0,54.0,225.0,26.0,11649.0,110.0,0.01
59,2021.0,5.0,7.0,11,삼척시,도계읍,17.0,46.0,225.0,39.0,20940.0,248.0,0.2
60,2021.0,5.0,7.0,11,삼척시,도계읍,17.0,46.0,225.0,39.0,20940.0,248.0,1.23
61,2021.0,5.0,7.0,11,삼척시,도계읍,17.0,46.0,225.0,39.0,20940.0,248.0,0.2
62,2021.0,5.0,7.0,11,삼척시,도계읍,17.0,46.0,225.0,39.0,20940.0,248.0,1.23
63,2021.0,5.0,8.0,12,횡성군,안흥면,14.0,59.0,225.0,37.0,12506.0,95.0,0.01
64,2021.0,5.0,8.0,12,횡성군,안흥면,15.0,59.0,225.0,38.0,12506.0,95.0,0.01
65,2021.0,5.0,9.0,13,홍천군,남면,21.0,24.0,315.0,21.0,2715.0,81.0,0.2
66,2021.0,5.0,9.0,13,철원군,철원읍,19.0,26.0,315.0,16.0,2915.0,60.0,0.03
67,2021.0,5.0,9.0,17,철원군,철원읍,18.0,22.0,270.0,12.0,4529.0,67.0,0.01
69,2021.0,5.0,14.0,11,횡성군,안흥면,24.0,58.0,0.0,26.0,15226.0,131.0,0.1
70,2021.0,5.0,14.0,11,횡성군,안흥면,24.0,58.0,0.0,26.0,15226.0,131.0,0.1
71,2021.0,6.0,7.0,15,강릉시,주문진읍,25.0,62.0,225.0,21.0,12539.0,50.0,0.01
73,2021.0,6.0,8.0,14,홍천군,내촌면,18.0,78.0,45.0,26.0,12515.0,48.0,0.04
75,2020.0,1.0,3.0,12,춘천시,서면,1.0,51.0,180.0,16.0,22712.0,77.0,0.7
80,2020.0,1.0,23.0,12,횡성군,우천면,9.0,40.0,180.0,22.0,4318.0,100.0,0.1
86,2020.0,2.0,24.0,12,춘천시,남산면,10.0,45.0,135.0,28.0,41008.0,108.0,0.1
93,2020.0,3.0,19.0,12,원주시,지정면,11.0,46.0,315.0,28.0,21950.0,174.0,2.2
97,2020.0,3.0,26.0,11,양양군,현남면,16.0,54.0,135.0,24.0,2046.0,197.0,0.3
98,2020.0,3.0,26.0,11,양양군,현남면,16.0,54.0,135.0,24.0,2046.0,197.0,0.8
99,2020.0,3.0,26.0,12,철원군,갈말읍,19.0,33.0,135.0,2.0,61250.0,383.0,5.0
100,2020.0,3.0,26.0,12,철원군,갈말읍,19.0,33.0,135.0,2.0,61250.0,383.0,9.85
102,2020.0,4.0,1.0,11,평창군,미탄면,15.0,24.0,0.0,16.0,4630.0,84.0,0.05
107,2020.0,4.0,8.0,12,영월군,주천면,14.0,11.0,270.0,31.0,34606.0,146.0,0.8
108,2020.0,4.0,8.0,12,영월군,주천면,14.0,11.0,270.0,31.0,34606.0,146.0,11.91
109,2020.0,4.0,8.0,13,원주시,소초면,10.0,23.0,315.0,8.0,12614.0,96.0,1.5
112,2020.0,4.0,10.0,11,원주시,신림면,11.0,38.0,90.0,23.0,20927.0,124.0,0.5
113,2020.0,4.0,10.0,11,평창군,진부면,7.0,30.0,45.0,46.0,12722.0,128.0,0.3
122,2020.0,4.0,24.0,11,철원군,갈말읍,13.0,41.0,135.0,5.0,33143.0,112.0,0.6
125,2020.0,4.0,27.0,11,횡성군,공근면,14.0,49.0,180.0,9.0,10141.0,64.0,0.02
132,2020.0,5.0,6.0,11,철원군,철원읍,21.0,42.0,135.0,18.0,14122.0,71.0,0.06
140,2020.0,10.0,6.0,14,춘천시,사북면,18.0,41.0,225.0,30.0,12001.0,61.0,0.01
144,2020.0,10.0,18.0,13,홍천군,화촌면,18.0,42.0,270.0,16.0,31356.0,38.0,0.01
